date,open,high,low,close,volume,Name
07-02-2018,273.64,279.7,268.04,272.21,4780612,CMG
07-02-2018,175.9,179.67,172.565,172.74,2542207,CMI
07-02-2018,42.18,42.75,42.07,42.16,3442954,CMS
07-02-2018,103.01,107.09,103.01,104.38,3105225,CNC
07-02-2018,26.31,26.84,26.25,26.36,5097663,CNP
07-02-2018,97.91,99.63,97.89,98.12,2481284,COF
07-02-2018,24.54,24.66,23.35,23.37,8007593,COG
07-02-2018,134.76,136.84,134.65,135.4,1662641,COL
07-02-2018,228.35,233.26,227.05,230.47,393066,COO
07-02-2018,56.06,56.9701,55.63,55.63,7721650,COP
07-02-2018,184.6,186.19,183.07,183.19,2594822,COST
07-02-2018,17.4,17.66,17.15,17.48,13399513,COTY
07-02-2018,45,45.8,44.78,44.8,1605078,CPB
07-02-2018,109.07,112.29,108.81,110.05,4515370,CRM
07-02-2018,40.31,41.206,40.03,40.34,32690837,CSCO
07-02-2018,30.37,31.56,30.35,31.35,1626253,CSRA
07-02-2018,53.38,54.36,52.94,52.97,6496219,CSX
07-02-2018,155.72,159.46,155.49,156.6,664085,CTAS
07-02-2018,17.01,17.39,16.97,17.06,8378711,CTL
07-02-2018,76.63,79.28,76.5,76.52,7112616,CTSH
07-02-2018,88.55,89.33,87.42,87.6,2263967,CTXS
07-02-2018,73.84,75.56,73.57,74.35,9611066,CVS
07-02-2018,117.4,119.27,115.23,115.29,11535704,CVX
07-02-2018,149.98,151.77,147.92,148.1,1992643,CXO
07-02-2018,74.77,76.075,74.32,74.99,18908378,C
07-02-2018,52.83,54.45,52.8,53.85,8995436,DAL
07-02-2018,161.17,164.16,160.91,161.44,2378814,DE
07-02-2018,75.67,77.57,75.67,76.63,1854947,DFS
07-02-2018,100.73,102.44,100.52,100.58,1431987,DGX
07-02-2018,97.51,99.53,97.45,97.88,2236393,DG
07-02-2018,46,47.43,45.87,46.29,8491098,DHI
07-02-2018,96.38,96.97,94.75,95.25,5337006,DHR
07-02-2018,23.89,24.49,22.81,23.12,5371789,DISCA
07-02-2018,22.69,23.26,21.78,21.95,2650823,DISCK
07-02-2018,44.75,45.69,44.09,45.1,4809805,DISH
07-02-2018,107.83,108.03,104.41,104.76,12444982,DIS
07-02-2018,104.23,106.6974,103.91,104.17,1335659,DLR
07-02-2018,107.07,108.7599,106.06,106.08,2124663,DLTR
07-02-2018,99.56,101.4518,99.195,99.92,1477445,DOV
07-02-2018,118.38,119.15,118,118,2981774,DPS
07-02-2018,25.43,25.91,25.3,25.37,2988419,DRE
07-02-2018,93.85,96.225,93.825,95.08,1213546,DRI
07-02-2018,99.29,100.55,99.04,99.27,1157299,DTE
07-02-2018,74.46,75.56,74.18,74.4,4840376,DUK
07-02-2018,73.85,75.64,73.6583,74.66,1010894,DVA
07-02-2018,38.37,38.92,36.74,36.76,8469519,DVN
07-02-2018,70.96,72.14,70.52,70.6,11215147,DWDP
07-02-2018,95.58,97.59,95.46,96.08,1543277,DXC
07-02-2018,73.98,74.85,73.4,73.76,4913873,D
07-02-2018,122.86,125,122.18,123.05,4066883,EA
07-02-2018,42.67,43.12,42.23,42.33,11379218,EBAY
07-02-2018,130.94,135.43,130.94,133.12,2052260,ECL
07-02-2018,75.79,76.61,75.25,75.26,2643065,ED
07-02-2018,118.23,120.65,117.38,117.6,1126318,EFX
07-02-2018,60.14,60.97,59.55,59.69,3077462,EIX
07-02-2018,136.83,137.5,133.985,134.71,2835714,EL
07-02-2018,98.6,100.39,98.36,98.98,1598353,EMN
07-02-2018,69.41,70.52,68.731,68.96,4045693,EMR
07-02-2018,108.42,109.71,105.76,105.78,4666029,EOG
07-02-2018,430,438.05,425.8,426.08,424157,EQIX
07-02-2018,57.66,58.57,56.85,56.86,2799116,EQR
07-02-2018,49.46,49.95,47.13,47.65,4853511,EQT
07-02-2018,75.38,76.33,74.92,74.95,3692983,ESRX
07-02-2018,218.82,223.51,217.52,217.81,540263,ESS
07-02-2018,57.55,58.21,56.88,56.89,3236268,ES
07-02-2018,51.98,52.64,51.42,51.55,2645886,ETFC
07-02-2018,82.32,84.38,81.59,81.62,3908996,ETN
07-02-2018,72.79,74.46,72.61,72.77,1759927,ETR
07-02-2018,34.76,35.48,34.61,34.82,1483333,EVHC
07-02-2018,126.75,131.78,126.05,129.7,1956602,EW
07-02-2018,36.47,37.69,36.09,36.15,8553380,EXC
07-02-2018,61.64,62.92,61.38,62.13,1621406,EXPD
07-02-2018,127.13,132.441,126.53,129.33,3157948,EXPE
07-02-2018,79.52,81.1,79.28,80.42,1103119,EXR
07-02-2018,52.83,53.95,52.72,53.24,2734556,FAST
07-02-2018,64.02,64.87,63.28,63.4,3292289,FBHS
07-02-2018,184.15,185.0817,179.95,180.18,27601886,FB
07-02-2018,18.37,18.48,17.775,17.86,31024247,FCX
07-02-2018,248.96,254.47,248.51,251.15,1520067,FDX
